TIME,LABEL
8.823583333,C#5
10.193562500,C#5
11.865395833,C#5
12.829020833,C#5
15.243895833,E5
17.536875000,A#5
19.829833333,B5
22.157645833,C5
24.578312500,C#5
26.935145833,G5
29.303583333,F#5
31.503666667,H4
33.721187500,F#5
36.043166667,A#4
37.239000000,F#5
37.581500000,C5
37.982041667,A#4
38.202625000,F#5
38.341958333,F#5
38.707666667,H4
39.468125000,D5
40.582666667,C#5
41.923625000,A4
42.422854167,G5
42.805979167,C5
43.670937500,D5
45.540145833,F#5
46.677916667,D#5
47.078458333,A#4
47.467395833,A5
48.390395833,G#4
50.189937500,G#4
51.188395833,G#4
51.554104167,A4
51.925625000,E5
52.895062500,D#5
53.974791667,D5
54.706208333,G#5
55.292520833,A4
55.582770833,A4
56.656687500,G#4
57.986041667,D6
59.176062500,D6
59.652062500,D#6
60.029395833,D#6
60.273187500,D#6
60.934958333,D6
61.567708333,D#6
61.939229167,D#6
62.066937500,D#6
62.775145833,D6
64.226395833,D6
64.940416667,D6
65.451250000,A4
65.956270833,A#4
66.327791667,A#4
67.285625000,A4
68.382770833,A4
69.009708333,G5
69.781770833,G5
70.495791667,D#5
71.238812500,D#5
71.952833333,D#5
72.434645833,E5
72.817770833,E5
73.676916667,D#5
74.414145833,D6
75.279083333,D6
76.225312500,C#5
76.591020833,D5
76.933520833,D5
77.635916667,C#5
78.320916667,D#5